"StationID","Year","Collection Date","Season","BenSampID","RepNum","SCI","SCI Score","SCI Threshold","Gradient","Target Count","Sample Comments","Collected By","Field Team","Entered By","Taxonomist","Entered Date","Family Total Taxa","Family EPT Taxa","%Ephem","%PT - Hydropsychidae","%FamilyScraper","%Chiro","Family %2 Dominant","Family HBI","%Ephem Score","%PT-H Score","Fam Richness Score","%Chironomidae Score","Fam EPT Score","Fam %Scraper Score","Fam %2Dom Score","Fam %MFBI Score","Family %5 Dominant","%ClngP-HS","Richness Score","Richness Final","HBI Score","HBI Final","EPT Score","EPT Final","EPHEM","PT-H","Pct5DOM","PctClng-HS","%Scrap","%Intoler","PctScrap","PctIntol","SeasonGradient"
"8-GDY000.88",2019,2019-08-22 10:45:00,"Fall","GDY12237R110",1,"VSCI",42.73,60,"Riffle",110,,"BRETT STERN","BDS, BRRO","BS","BRETT STERN",2020-02-14 00:00:00,15,5,6.36,3.64,17.27,41.82,65.45,5.51,10.38,10.21,68.18,58.18,45.45,33.47,49.92,66.04,,,,,,,,,,,,,,,,,"Fall (Riffle)"
"8-NAR063.92",2019,2019-05-01 14:00:00,"Spring","NAR12035R110",1,"VSCI",68.43,60,"MACS",110,"2019 Probablistic monitoring station.","BRETT STERN","BDS/JDL","BS","BRETT STERN",2020-02-14 00:00:00,16,12,44.55,14.55,13.64,25.45,47.27,4.28,72.67,40.86,72.73,74.55,100,26.43,76.2,84.05,,,,,,,,,,,,,,,,,"Spring (MACS)"
"8-NAR063.92",2019,2019-09-25 11:05:00,"Fall","NAR12240R110",1,"VSCI",49.89,60,"Riffle",110,,"BRETT STERN","BDS","BS","BRETT STERN",2020-02-14 00:00:00,12,8,30,3.64,27.27,50,72.73,5.21,48.94,10.21,54.55,50,72.73,52.85,39.41,70.45,,,,,,,,,,,,,,,,,"Fall (Riffle)"
"8-POR015.70",2019,2019-04-30 09:30:00,"Spring","POR12038R110",1,"VSCI",59.77,60,"MACS",110,"Water tidbit data collected at 9:30am and air tidbit collected at 10:00am.","BRETT STERN","BDS, JDL","BS","BRETT STERN",2020-02-14 00:00:00,15,8,33.64,11.82,20.91,35.45,53.64,4.76,54.87,33.2,68.18,64.55,72.73,40.52,67,77.1,,,,,,,,,,,,,,,,,"Spring (MACS)"
"8-POR015.70",2019,2019-09-30 09:30:00,"Fall","POR12238R110",1,"VSCI",57.6,60,"MACS",110,"Water and air tidbit collected at 9:30am","BRETT STERN","BDS, JDL, JST, MV, TJ","BS","BRETT STERN",2020-02-14 00:00:00,23,8,9.09,15.45,20.91,43.64,52.73,5.61,14.83,43.41,100,56.36,72.73,40.52,68.31,64.62,,,,,,,,,,,,,,,,,"Fall (MACS)"
"1ABRU037.52",2020,2020-08-17 11:45:00,"Fall","BRU19552R110",1,"VSCI",33,60,"Riffle",110,,"JUSTIND LOYD","JDL, CMB","BDSTERN","JUSTIND LOYD",2021-02-09 23:47:11,16,4,0.91,1.82,6.36,66.36,70.91,5.9,1.48,5.11,72.73,33.64,36.36,12.33,42.04,60.31,,,,,,,,,,,,,,,,,"Fall (Riffle)"
"1AXLN000.27",2020,2020-09-08 09:30:00,"Fall","XLN19554R110",1,"VSCI",63.42,60,"Riffle",110,,"JUSTIND LOYD",,"BDSTERN","JUSTIND LOYD",2021-02-09 23:47:11,13,5,9.09,18.18,46.36,10.91,50,4.17,14.83,51.07,59.09,89.09,45.45,89.85,72.25,85.7,,,,,,,,,,,,,,,,,"Fall (Riffle)"
"1AXMJ000.42",2020,2020-10-27 09:30:00,"Fall","XMJ19555R110",1,"VSCI",57.26,60,"Riffle",110,,"JUSTIND LOYD","JDL","BDSTERN","JUSTIND LOYD",2021-02-09 23:47:11,16,9,13.64,15.45,14.55,35.45,50.91,4.95,22.25,43.41,72.73,64.55,81.82,28.19,70.94,74.2,,,,,,,,,,,,,,,,,"Fall (Riffle)"
"2-BVP010.04",2020,2020-10-21 11:30:00,"Fall","BVP19770R110",1,"VSCI",60.08,60,"MACS",110,,"MIKEJ SHAVER","ms ej jh jr","WJVANWART","MIKEJ SHAVER",2021-03-23 07:16:57,13,7,20.91,28.18,18.18,38.18,58.18,4.07,34.11,79.16,59.09,61.82,63.64,35.24,60.43,87.17,,,,,,,,,,,,,,,,,"Fall (MACS)"
"3-DPR005.43",2020,2020-08-19 10:45:00,"Fall","DPR19641R110",1,"VSCI",64.35,60,"Riffle",110,,"JUSTIND LOYD","JDL, CMB","JDLOYD","JUSTIND LOYD",2021-03-03 15:14:16,18,7,8.18,10.91,40.91,13.64,46.36,4.41,13.35,30.64,81.82,86.36,63.64,79.28,77.51,82.22,,,,,,,,,,,,,,,,,"Fall (Riffle)"
"3-MTR008.83",2020,2020-08-20 15:37:00,"Fall","MTR19644R110",1,"VSCI",54.85,60,"MACS",110,,"JUSTIND LOYD","JDL, CMB","JDLOYD","JUSTIND LOYD",2021-03-03 15:14:16,17,7,20,1.82,30,36.36,51.82,5.33,32.63,5.11,77.27,63.64,63.64,58.14,69.63,68.72,,,,,,,,,,,,,,,,,"Fall (MACS)"
"8-XIW000.55",2020,2020-10-27 11:00:00,"Fall","XIW20147R110",1,"VCPMI65 - Chowan",93.96,40,"MACS",110,,"MIKEJ SHAVER",,"MJSHAVER","WARRENH SMIGO",2021-09-22 13:49:29,23,11,46.36,28.18,,,,3.49,,,,,,,,,,37.27,100,100,100,100,100,100,100,100,,79.98,25.45,43.64,71.7,100,"Fall (MACS)"
